Job Title,Skills,ROI,Company Name,Experience Level,Location,Industry,CS Team Size,Customer Satisfaction,Rating,Project Success Rate,Tenure,Client Name,Company Size,Recent Activity,Budget Range
Customer Success Manager,"Market Analysis, Training, Relationship Management, Problem-Solving, Leadership",176.32674231173027,Company 1,Mid-level,USA,Healthcare,19,92,3.5,73,10,Client 1,Small,Expansion,Low
Onboarding Specialist,"Training Design, Training, Market Analysis, Problem-Solving",100.17612321882604,Company 2,Mid-level,USA,Healthcare,19,80,3.4,75,1,Client 2,Large,Product Launch,Medium
Customer Success Manager,"Technical Expertise, Leadership, Customer Support",144.55957670137252,Company 3,Mid-level,USA,Retail,8,84,3.2,70,5,Client 3,Medium,Product Launch,High
Customer Success Manager,"Analytics, Leadership",191.86869845885028,Company 4,Junior,USA,Retail,1,92,5.0,91,5,Client 4,Small,Expansion,Medium
Customer Training Manager,"Problem-Solving, Training, Relationship Management",198.05081459031464,Company 5,Junior,USA,Other,17,96,3.7,89,5,Client 5,Large,Expansion,Medium
Onboarding Specialist,"Technical Expertise, Strategic Planning",129.1153594544918,Company 6,Mid-level,USA,SaaS,15,84,3.7,77,10,Client 6,Small,Expansion,High
Product Manager,"Problem-Solving, Relationship Management",192.76939217926406,Company 7,Junior,USA,Retail,11,90,3.6,75,5,Client 7,Large,Product Launch,Low
Customer Training Manager,"Market Analysis, Relationship Management, Communication, Technical Expertise, Training",110.80284986925159,Company 8,Mid-level,USA,Healthcare,5,89,3.0,99,3,Client 8,Medium,Product Launch,Low
Customer Success Manager,"Technical Expertise, Leadership, Analytics",153.99099183964825,Company 9,Senior,USA,Retail,9,80,3.1,99,6,Client 9,Small,Product Launch,High
Onboarding Specialist,"Training, Strategic Planning, Problem-Solving, Market Analysis",169.61948795068457,Company 10,Junior,USA,SaaS,2,82,3.5,87,10,Client 10,Large,Funding Round,High
Product Manager,"Customer Support, Technical Expertise",145.13653722898104,Company 11,Senior,USA,Technology,11,96,3.7,100,3,Client 11,Small,Funding Round,Medium
Customer Training Manager,"Analytics, Communication, Training, Customer Support",122.90434046909988,Company 12,Mid-level,USA,Technology,13,80,3.6,82,2,Client 12,Medium,Product Launch,Low
Onboarding Specialist,"Customer Support, Leadership, Relationship Management, Technical Expertise",151.4364092372365,Company 13,Junior,USA,Retail,11,90,3.7,84,4,Client 13,Small,Expansion,Medium
Product Manager,"Technical Expertise, Training, Market Analysis, Training Design, Leadership",130.0418511402249,Company 14,Junior,USA,B2B,14,96,3.9,90,10,Client 14,Large,Product Launch,High
Customer Success Manager,"Problem-Solving, Strategic Planning",169.69630088527256,Company 15,Senior,USA,Technology,6,95,4.2,85,5,Client 15,Small,Expansion,Low
Onboarding Specialist,"Customer Support, Leadership, Communication",172.06878860053968,Company 16,Junior,USA,Other,13,95,3.6,79,10,Client 16,Small,Funding Round,High
Customer Training Manager,"Technical Expertise, Training Design, Analytics, Strategic Planning",167.1317443281464,Company 17,Senior,USA,Finance,17,85,3.1,87,6,Client 17,Large,Partnership,High
Customer Success Manager,"Customer Support, Training Design, Relationship Management",157.70440461091732,Company 18,Mid-level,USA,Healthcare,9,89,4.6,77,5,Client 18,Small,Product Launch,Low
Customer Training Manager,"Relationship Management, Training, Customer Support",117.73449534095664,Company 19,Mid-level,USA,B2B,19,91,3.3,80,3,Client 19,Medium,Partnership,High
Onboarding Specialist,"Problem-Solving, Strategic Planning, Leadership",114.58464058655234,Company 20,Senior,USA,Technology,11,88,4.3,78,8,Client 20,Large,Partnership,Medium
Onboarding Specialist,"Strategic Planning, Leadership, Technical Expertise, Problem-Solving, Training",164.04630921488356,Company 21,Junior,USA,SaaS,10,96,4.5,74,5,Client 21,Large,Product Launch,Low
Customer Training Manager,"Strategic Planning, Analytics",138.47304995436554,Company 22,Junior,USA,B2B,19,90,3.5,75,2,Client 22,Small,Product Launch,Low
Customer Training Manager,"Training, Market Analysis, Communication, Analytics, Training Design",157.58414406376335,Company 23,Junior,USA,Technology,10,85,3.6,97,1,Client 23,Large,Funding Round,High
Onboarding Specialist,"Analytics, Strategic Planning, Training",150.2552337152771,Company 24,Senior,USA,Technology,4,99,3.6,92,9,Client 24,Large,Expansion,High
Customer Success Manager,"Communication, Strategic Planning, Leadership",105.75024155704203,Company 25,Junior,USA,Finance,4,84,3.1,87,5,Client 25,Medium,Partnership,High
Customer Training Manager,"Leadership, Customer Support",181.75963958836945,Company 26,Mid-level,USA,Retail,5,80,4.6,85,5,Client 26,Small,Expansion,Low
Product Manager,"Market Analysis, Relationship Management, Communication, Customer Support, Technical Expertise",191.82574370104763,Company 27,Senior,USA,Healthcare,10,94,4.4,83,8,Client 27,Large,Product Launch,Medium
Onboarding Specialist,"Communication, Training, Leadership, Customer Support",176.39040969392678,Company 28,Senior,USA,Retail,1,96,3.9,81,5,Client 28,Large,Partnership,Medium
Customer Training Manager,"Leadership, Analytics, Technical Expertise, Training, Problem-Solving",164.10522015490773,Company 29,Mid-level,USA,Finance,3,91,4.5,75,5,Client 29,Large,Expansion,Medium
Customer Success Manager,"Technical Expertise, Leadership, Analytics, Strategic Planning, Training Design",196.5139423880757,Company 30,Junior,USA,Finance,2,86,4.7,89,10,Client 30,Large,Funding Round,Low
Customer Training Manager,"Leadership, Training Design, Training",150.01923587944742,Company 31,Senior,USA,Healthcare,9,98,3.9,90,3,Client 31,Large,Product Launch,Medium
Onboarding Specialist,"Analytics, Relationship Management, Communication, Training Design, Problem-Solving",115.2602676925153,Company 32,Mid-level,USA,Healthcare,16,93,3.4,86,8,Client 32,Small,Expansion,Low
Customer Success Manager,"Communication, Training Design, Strategic Planning, Market Analysis, Leadership",151.03037521576596,Company 33,Junior,USA,SaaS,6,89,3.5,97,3,Client 33,Small,Expansion,Medium
Product Manager,"Analytics, Training Design",164.5180124272411,Company 34,Mid-level,USA,B2B,7,95,4.9,70,5,Client 34,Large,Product Launch,High
Onboarding Specialist,"Leadership, Communication",177.58689623124172,Company 35,Mid-level,USA,Technology,18,99,3.9,86,4,Client 35,Small,Funding Round,Low
Onboarding Specialist,"Strategic Planning, Problem-Solving",181.59249932771758,Company 36,Junior,USA,Healthcare,8,87,4.5,80,9,Client 36,Medium,Expansion,Low
Onboarding Specialist,"Technical Expertise, Problem-Solving, Market Analysis",165.01077046527286,Company 37,Senior,USA,Healthcare,16,91,4.7,90,1,Client 37,Large,Product Launch,Low
Onboarding Specialist,"Leadership, Customer Support",106.1056060493507,Company 38,Mid-level,USA,Other,12,85,3.7,77,6,Client 38,Large,Partnership,Low
Onboarding Specialist,"Customer Support, Communication",101.04978908050468,Company 39,Junior,USA,Technology,9,100,4.5,91,9,Client 39,Large,Expansion,High
Onboarding Specialist,"Training, Strategic Planning, Training Design",166.45277638460516,Company 40,Junior,USA,Healthcare,7,84,3.6,76,9,Client 40,Small,Funding Round,Medium
Customer Training Manager,"Communication, Problem-Solving, Technical Expertise",197.48698688476907,Company 41,Senior,USA,Retail,3,80,3.8,93,3,Client 41,Medium,Funding Round,Low
Customer Success Manager,"Communication, Technical Expertise, Problem-Solving, Relationship Management",105.25691361489547,Company 42,Senior,USA,B2B,11,89,4.6,76,5,Client 42,Small,Expansion,High
Product Manager,"Strategic Planning, Training Design, Technical Expertise",103.73488769272844,Company 43,Senior,USA,B2B,8,95,3.5,95,4,Client 43,Small,Partnership,High
Product Manager,"Customer Support, Training Design",175.7923343997893,Company 44,Junior,USA,Finance,1,89,4.1,84,9,Client 44,Medium,Expansion,Low
Onboarding Specialist,"Leadership, Training Design, Training, Customer Support",145.95561229539038,Company 45,Mid-level,USA,Other,9,94,4.4,73,5,Client 45,Large,Partnership,High
Customer Success Manager,"Leadership, Training, Training Design, Problem-Solving",184.6624484393635,Company 46,Mid-level,USA,Finance,3,91,4.3,92,9,Client 46,Large,Product Launch,Low
Customer Training Manager,"Leadership, Strategic Planning",190.0553614759208,Company 47,Junior,USA,Technology,19,82,3.7,82,2,Client 47,Medium,Expansion,High
Customer Success Manager,"Strategic Planning, Training Design, Customer Support, Problem-Solving, Market Analysis",165.4234679896773,Company 48,Senior,USA,Healthcare,6,92,4.6,70,8,Client 48,Small,Expansion,High
Customer Training Manager,"Customer Support, Problem-Solving, Market Analysis, Training Design, Strategic Planning",183.07775194080637,Company 49,Junior,USA,Technology,18,88,4.6,73,5,Client 49,Small,Product Launch,High
Customer Success Manager,"Problem-Solving, Leadership",120.5908516552917,Company 50,Mid-level,USA,Technology,4,90,3.7,89,3,Client 50,Large,Expansion,Low
Customer Success Manager,"Analytics, Training, Technical Expertise",155.41080715943923,Company 51,Junior,USA,Finance,10,100,4.2,94,9,Client 51,Large,Funding Round,Medium
Customer Success Manager,"Customer Support, Leadership, Analytics, Relationship Management",122.00906021149598,Company 52,Mid-level,USA,Technology,3,92,5.0,76,4,Client 52,Small,Partnership,High
Customer Training Manager,"Training Design, Leadership, Technical Expertise",128.90377158230802,Company 53,Mid-level,USA,Healthcare,5,86,4.6,87,8,Client 53,Large,Expansion,High
Customer Training Manager,"Training, Leadership",171.85886945546793,Company 54,Senior,USA,Other,14,83,4.9,90,6,Client 54,Large,Partnership,Low
Onboarding Specialist,"Problem-Solving, Training Design, Communication",187.44810273423246,Company 55,Junior,USA,Healthcare,7,85,3.7,96,1,Client 55,Small,Product Launch,Low
Customer Training Manager,"Strategic Planning, Communication, Leadership, Relationship Management",172.16796722938435,Company 56,Mid-level,USA,Technology,18,84,3.4,82,3,Client 56,Large,Partnership,Medium
Customer Training Manager,"Strategic Planning, Customer Support, Training, Leadership, Communication",176.05318771232413,Company 57,Junior,USA,B2B,16,100,3.4,81,6,Client 57,Small,Partnership,High
Product Manager,"Technical Expertise, Analytics, Training Design",158.72245342457563,Company 58,Senior,USA,Finance,9,85,3.4,77,2,Client 58,Medium,Funding Round,Medium
Onboarding Specialist,"Relationship Management, Training, Strategic Planning",122.65652938910105,Company 59,Mid-level,USA,Retail,18,88,3.8,98,9,Client 59,Medium,Expansion,Low
Customer Training Manager,"Problem-Solving, Strategic Planning, Technical Expertise, Analytics",172.5995298980289,Company 60,Mid-level,USA,B2B,14,85,3.6,88,6,Client 60,Small,Expansion,High
Product Manager,"Training, Problem-Solving, Technical Expertise, Communication, Relationship Management",127.38869127454468,Company 61,Senior,USA,Retail,18,97,4.0,95,8,Client 61,Large,Funding Round,Medium
Onboarding Specialist,"Technical Expertise, Strategic Planning",181.08635821639143,Company 62,Junior,USA,Other,1,99,4.4,86,10,Client 62,Medium,Partnership,Low
Onboarding Specialist,"Analytics, Communication, Relationship Management, Technical Expertise, Leadership",186.16601600752895,Company 63,Mid-level,USA,Healthcare,12,86,3.9,84,8,Client 63,Large,Partnership,Medium
Customer Training Manager,"Problem-Solving, Leadership",164.98278460023587,Company 64,Mid-level,USA,Healthcare,17,98,3.6,92,7,Client 64,Small,Partnership,Low
Customer Success Manager,"Relationship Management, Communication, Training Design",130.40576848929462,Company 65,Mid-level,USA,Other,17,96,4.9,92,7,Client 65,Large,Expansion,Low
Onboarding Specialist,"Strategic Planning, Communication, Analytics, Customer Support",142.3963942190261,Company 66,Junior,USA,Finance,3,86,4.7,93,6,Client 66,Large,Funding Round,Medium
Customer Training Manager,"Strategic Planning, Customer Support, Training Design, Market Analysis, Problem-Solving",135.52677406316812,Company 67,Mid-level,USA,Finance,1,89,4.1,83,8,Client 67,Small,Expansion,Low
Customer Success Manager,"Technical Expertise, Customer Support, Training Design, Training",138.67938002725762,Company 68,Junior,USA,B2B,9,84,3.4,82,1,Client 68,Medium,Partnership,Medium
Onboarding Specialist,"Strategic Planning, Training, Problem-Solving, Relationship Management",131.36130309245226,Company 69,Junior,USA,Healthcare,14,84,3.8,81,8,Client 69,Small,Product Launch,Low
Product Manager,"Problem-Solving, Strategic Planning, Analytics",138.8430314297542,Company 70,Mid-level,USA,B2B,8,94,3.3,71,9,Client 70,Medium,Product Launch,Low
Product Manager,"Communication, Relationship Management, Problem-Solving, Customer Support, Training",195.5864363417048,Company 71,Senior,USA,Healthcare,8,95,4.3,96,8,Client 71,Small,Funding Round,Low
Customer Training Manager,"Communication, Training Design, Training, Relationship Management, Problem-Solving",125.22284228268425,Company 72,Mid-level,USA,Retail,9,90,3.3,73,7,Client 72,Medium,Partnership,Medium
Onboarding Specialist,"Customer Support, Training Design, Analytics",167.1855600686325,Company 73,Mid-level,USA,Finance,13,92,4.7,82,5,Client 73,Medium,Funding Round,Medium
Customer Success Manager,"Training, Customer Support, Analytics, Market Analysis, Problem-Solving",140.7151770389964,Company 74,Senior,USA,B2B,12,85,4.8,75,7,Client 74,Large,Product Launch,Low
Onboarding Specialist,"Technical Expertise, Training, Analytics",122.79460049114304,Company 75,Junior,USA,Technology,20,84,4.7,96,3,Client 75,Small,Product Launch,High
Customer Success Manager,"Technical Expertise, Training, Relationship Management, Analytics, Market Analysis",104.78203902518105,Company 76,Senior,USA,Healthcare,1,85,4.1,75,1,Client 76,Medium,Partnership,High
Customer Success Manager,"Market Analysis, Customer Support",114.06784714409038,Company 77,Junior,USA,SaaS,7,93,3.9,86,5,Client 77,Large,Product Launch,Medium
Customer Training Manager,"Customer Support, Market Analysis, Training Design, Leadership, Relationship Management",118.80835931678426,Company 78,Junior,USA,B2B,13,91,3.7,94,2,Client 78,Small,Expansion,High
Product Manager,"Market Analysis, Relationship Management",164.5498219486248,Company 79,Junior,USA,B2B,6,81,4.5,84,2,Client 79,Small,Expansion,High
Onboarding Specialist,"Problem-Solving, Training, Relationship Management",194.4683282785743,Company 80,Senior,USA,Finance,18,95,3.7,87,8,Client 80,Large,Funding Round,High
Customer Success Manager,"Training, Leadership",191.5838297362237,Company 81,Mid-level,USA,B2B,13,92,4.9,75,5,Client 81,Small,Funding Round,Medium
Customer Success Manager,"Communication, Technical Expertise, Customer Support",107.55576828084676,Company 82,Junior,USA,Other,14,92,3.6,73,6,Client 82,Small,Product Launch,Medium
Customer Success Manager,"Leadership, Customer Support",130.1328647517031,Company 83,Senior,USA,Other,7,82,4.2,90,4,Client 83,Large,Partnership,High
Product Manager,"Strategic Planning, Technical Expertise, Training Design, Analytics",147.49288165176455,Company 84,Junior,USA,Finance,18,83,3.4,93,4,Client 84,Large,Funding Round,Medium
Product Manager,"Market Analysis, Strategic Planning, Leadership",165.13368302616433,Company 85,Senior,USA,B2B,17,99,3.7,76,10,Client 85,Small,Partnership,Low
Onboarding Specialist,"Relationship Management, Problem-Solving, Leadership, Communication",106.74546964719632,Company 86,Mid-level,USA,Technology,4,81,4.6,72,8,Client 86,Large,Funding Round,Low
Customer Success Manager,"Communication, Analytics, Relationship Management, Customer Support, Problem-Solving",133.5011312170098,Company 87,Mid-level,USA,Retail,17,80,3.4,73,6,Client 87,Medium,Product Launch,High
Product Manager,"Strategic Planning, Customer Support, Relationship Management, Technical Expertise, Market Analysis",122.49723041302776,Company 88,Mid-level,USA,Other,18,91,4.1,72,10,Client 88,Large,Partnership,Low
Customer Training Manager,"Communication, Technical Expertise, Relationship Management, Analytics",148.35481307200587,Company 89,Mid-level,USA,Retail,16,84,4.9,78,6,Client 89,Small,Product Launch,High
Onboarding Specialist,"Problem-Solving, Analytics, Communication",175.71277602974618,Company 90,Senior,USA,Technology,7,82,3.5,77,6,Client 90,Small,Expansion,Low
Customer Training Manager,"Problem-Solving, Relationship Management, Technical Expertise",143.21293504209382,Company 91,Senior,USA,Other,16,82,4.9,86,9,Client 91,Small,Expansion,Medium
Product Manager,"Communication, Relationship Management, Market Analysis, Technical Expertise, Problem-Solving",122.79021022604121,Company 92,Junior,USA,Finance,18,96,3.5,95,4,Client 92,Small,Funding Round,Medium
Onboarding Specialist,"Training, Technical Expertise",196.88076537652333,Company 93,Mid-level,USA,Retail,1,84,3.2,98,4,Client 93,Large,Expansion,Medium
Customer Success Manager,"Training, Analytics, Communication, Strategic Planning",194.70603087958833,Company 94,Junior,USA,Finance,8,99,5.0,97,9,Client 94,Large,Funding Round,Low
Customer Training Manager,"Leadership, Customer Support",186.34054064965878,Company 95,Senior,USA,Retail,10,100,4.3,98,8,Client 95,Large,Partnership,High
Product Manager,"Customer Support, Analytics, Communication, Strategic Planning, Market Analysis",120.71756189447316,Company 96,Senior,USA,SaaS,10,91,3.4,86,6,Client 96,Small,Expansion,High
Customer Success Manager,"Communication, Training, Technical Expertise, Leadership",182.7713763688517,Company 97,Mid-level,USA,Retail,11,91,4.4,72,7,Client 97,Medium,Expansion,Medium
Customer Success Manager,"Training, Leadership, Problem-Solving, Relationship Management, Technical Expertise",145.64781590792603,Company 98,Mid-level,USA,Retail,18,82,3.0,81,8,Client 98,Large,Product Launch,Low
Customer Training Manager,"Communication, Customer Support, Training, Technical Expertise",148.07862544886552,Company 99,Mid-level,USA,SaaS,14,93,4.7,92,3,Client 99,Large,Product Launch,Medium
Onboarding Specialist,"Leadership, Technical Expertise, Market Analysis, Relationship Management",166.08716046781234,Company 100,Junior,USA,Technology,1,92,3.7,72,1,Client 100,Small,Product Launch,Low
